 1.7044    		1
    1.6726    		1
    1.4597    		1
    1.9761    		1
    2.1897    		1
    1.8348    		1
    1.7501    		1
    1.9820    		1
    1.9126    		1
    1.5214    		1
    2.6463    		1
    2.2205    		1
    2.6405    		1
    1.7511    		1
    1.4406    		1
    2.4038    		1
    2.0206    		1
    1.6219    		1
    1.9554    		1
    0.9956    		1
    2.5420    		1
    1.5094    		1
    1.6558    		1
    2.6697    		1
    1.5454    		1
    1.7936    		1
    1.7469    		1
    2.8099    		1
    2.0405    		1
    1.4595   		1
    1.4377    		1
    2.8678    		1
    2.9687    		1
    2.8175    		1
    1.3720    		1
    1.8932    		1
    1.9005    		1
    2.1537    		1
    1.7138    		1
    1.5112    		1
    1.7766    		1
    2.5410    		1
    3.1863    		1
    2.1146    		1
    1.8667    		1
    2.3508    		1
    1.7562    		1
    2.9312    		1
    2.5534    		1
    1.3862    		1
    7.3955    		2
    7.6087   		2
    7.6164   		2
    7.9464    		2
    7.5115    		2
    7.5180    		2
    6.8104   		2
    7.5809    		2
    8.1287    		2
    7.9081   		2
    7.9162    		2
    7.9415    		2
    8.0842   		2
    7.7494    		2
    7.6475    		2
    8.2541    		2
    7.7895   		2
    8.1146   		2
    7.5203   		2
    7.9270   		2
    8.3723   		2
    7.5548   		2
    8.0695    		2
    7.8819    		2
    7.9623   		2
    7.8207    		2
    6.9612    		2
    7.9282   		2
    8.6967   		2
    8.3259   		2
    7.8114    		2
    7.6693   		2
    8.1245   		2
    7.8082   		2
    7.7358   		2
    8.0277   		2
    8.6269   		2
    6.7400   		2
    8.2924   		2
    7.4960   		2
    8.4721   		2
    6.7880    		2
    7.8881   		2
    8.0290   		2
    7.7877   		2
    7.8985    		2
    7.2435   		2
    7.4368    		2
    7.5925    		2
    8.1833   		2
